거래일,품목 및 품명,등급,평균가,전일평균,등락,거래단위,최저가,최고가,전일대비(%),전7일평균,전7일대비(%),시장구분,구분
20210607,당근,특,24000,0,24000,20 kg상자,24000,24000,0,23369,24000,가락시장,co
20210607,당근,상,22208,0,22208,20 kg상자,21000,24000,0,21813,22208,가락시장,co
20210607,당근,보통,19819,0,19819,20 kg상자,19000,21000,0,19624,19819,가락시장,co
20210607,당근,하,17585,0,17585,20 kg상자,14000,19000,0,15921,17585,가락시장,co
20210701,메론 머스크,하,13344,0,13344,8 kg상자,8000,17000,0,11992,13344,가락시장,co
20210701,당근,특,21000,0,21000,20 kg상자,21000,21000,0,20422,21000,가락시장,co
20210701,당근,상,18481,0,18481,20 kg상자,15500,21000,0,18491,18481,가락시장,co
20210701,당근,보통,12698,0,12698,20 kg상자,10000,15500,0,14872,12698,가락시장,co
20210701,당근,하,4215,0,4215,20 kg상자,3000,10000,0,10633,4215,가락시장,co
20210625,포도 샤인머스켓,특,64053,0,64053,2 kg상자,63000,65000,0,64306,64053,가락시장,co
20210625,포도 샤인머스켓,상,57573,0,57573,2 kg상자,50000,63000,0,56886,57573,가락시장,co
20210625,포도 샤인머스켓,보통,45789,0,45789,2 kg상자,40000,50000,0,42675,45789,가락시장,co
20210625,포도 샤인머스켓,하,37346,0,37346,2 kg상자,32000,40000,0,28591,37346,가락시장,co
20210619,메론 머스크,특,24000,0,24000,5 kg상자,24000,24000,0,23500,24000,가락시장,co
20210619,메론 머스크,상,23078,0,23078,5 kg상자,17000,24000,0,20827,23078,가락시장,co
20210619,메론 머스크,보통,15356,0,15356,5 kg상자,14000,17000,0,14622,15356,가락시장,co
20210619,메론 머스크,하,11700,0,11700,5 kg상자,5500,14000,0,10306,11700,가락시장,co
20210619,메론 머스크,특,27812,0,27812,8 kg상자,27000,29000,0,38803,27812,가락시장,co
20210619,메론 머스크,상,24918,0,24918,8 kg상자,22000,27000,0,28095,24918,가락시장,co
20210619,메론 머스크,보통,19771,0,19771,8 kg상자,16000,22000,0,22491,19771,가락시장,co
20210531,깻잎,상,20173,0,20173,2 kg상자,16500,22600,0,19738,20173,양곡시장,co
20210531,깻잎,보통,16087,0,16087,2 kg상자,16000,16500,0,16445,16087,양곡시장,co
20210531,깻잎,하,13875,0,13875,2 kg상자,9000,16000,0,13353,13875,양곡시장,co
20210531,깻잎,상,17406,0,17406,3 kg상자,15800,19000,0,16218,17406,양곡시장,co
20210531,깻잎,보통,13783,0,13783,3 kg상자,13000,15800,0,13786,13783,양곡시장,co
20210619,메론 머스크,하,11470,0,11470,8 kg상자,6500,16000,0,14371,11470,가락시장,co
20210531,깻잎,하,11909,0,11909,3 kg상자,9000,13000,0,11188,11909,양곡시장,co
20210612,깻잎,상,14366,0,14366,2 kg상자,10000,20500,0,16903,14366,양곡시장,co
20210612,깻잎,보통,9313,0,9313,2 kg상자,9000,10000,0,11878,9313,양곡시장,co
20210612,깻잎,하,7960,0,7960,2 kg상자,6000,9000,0,9485,7960,양곡시장,co
20210612,깻잎,상,12127,0,12127,3 kg상자,11500,12800,0,14245,12127,양곡시장,co
20210612,깻잎,보통,9962,0,9962,3 kg상자,9000,11500,0,11677,9962,양곡시장,co
